Date,CAC,ASX,NASDAQ,KOSPI,AUD,USD,KRW
08/17/15,4984.83,5367.7,4566.37,1434.49,0.664801444043321,0.902527075812274,0.000763326800477244
08/18/15,4971.25,5303.1,4542.07,1441.68,0.666001089126883,0.907605736068252,0.000765866772484539
08/19/15,4884.1,5380.2,4510.899,1443.72,0.660699829090582,0.899523252676082,0.000760271858984484
08/20/15,4783.55,5288.6,4385.126,1430.55,0.652610977671026,0.889600569344364,0.000751396255981658
08/21/15,4630.99,5214.6,4197.271,1402.22,0.642750504961799,0.8781944322473,0.000734982995562037
08/24/15,4383.46,5001.3,4038.602,1365.68,0.615682561542434,0.860733344809778,0.000723341802788189
08/25/15,4564.86,5137.3,4016.324,1370.98,0.618898731978461,0.868507903421921,0.000729869241078971
08/26/15,4501.05,5172.8,4219.6,1392.99,0.629253203711887,0.883782589482987,0.000747574513181346
08/27/15,4658.18,5233.3,4324.821,1401.23,0.637196477808414,0.88944231966557,0.000758178820476477
08/28/15,4675.13,5263.6,4329.121,1420.44,0.641470614545129,0.894534394847482,0.000758806649458789
08/31/15,4652.95,5207,4274.584,1426.79,0.634198554990634,0.891981090000892,0.000754752068843726
09/01/15,4541.16,5096.4,4142.634,1408.13,0.6197755588937,0.883626402756914,0.000749439296685395
09/02/15,4554.92,5101.5,4256.23,1411.23,0.62675930874755,0.89078923926599,0.000752940831783134
09/03/15,4653.79,5027.8,4234.654,1416.12,0.630788598147649,0.899199712256092,0.00075560461182489
09/04/15,4523.08,5040.6,4184.721,1407.99,0.619504755069083,0.897182845863987,0.000747446823676811
09/07/15,4549.64,5030.4,#N/A,1403.37,0.61995164323453,0.895495656846064,0.000744756866971111
09/08/15,4598.26,5115.3,4303.526,1412.39,0.626305920171444,0.892936869363336,0.000747878378976964
09/09/15,4664.59,5221.1,4253.448,1450.13,0.626026419136023,0.892538379150303,0.000749710946695369
09/10/15,4596.53,5095,4296.298,1460.79,0.6267293366442,0.886839304717985,0.000750331495704471
09/11/15,4548.72,5071.1,4323.23,1435.66,0.625011023899815,0.881911985183879,0.000746314164614983
09/14/15,4518.15,5096.5,4308.76,1437.94,0.630411733521824,0.883548330093656,0.000747610341668139
09/15/15,4569.37,5018.4,4360.279,1439.02,0.633854074205574,0.887626486774365,0.000753419815108999
09/16/15,4645.84,5098.9,4383.67,1473.5,0.637346089113296,0.885818052971919,0.000757614523333436
09/17/15,4655.14,5146.8,4384.961,1478.4,0.626934849147355,0.874508089199825,0.000750077699611306
09/18/15,4535.85,5170.5,4323.858,1487.2,0.635736399823087,0.884564352056612,0.000754721982233211
09/21/15,4585.5,5066.2,4336.13,1457.5,0.637314500268192,0.893974611121044,0.000759246346869119
09/22/15,4428.51,5103.6,4274.098,1468.69,0.637524734664508,0.899442345745638,0.000759305012617037
09/23/15,4432.83,4998.1,4273.531,1445.01,0.625748770675011,0.894054537326777,0.00074882702424475
09/24/15,4347.24,5071.7,4261.104,1444.66,0.625434143734972,0.890551251224508,0.000748274363708898
09/25/15,4480.66,5042.1,4224.74,1442.53,0.627032338752903,0.893335715561908,0.000749398706084297
