Date,DayNumber,Price,PriceStdDev,Delta,DeltaStdDev,PortfolioValue,InvestedCash
2009-01-26,15,967.4548421290509,0.1756789391122948,"[0.04172497731885634, -0.00193065765432575, -0.09087605413673044, -149.93618689979508, 5.924162293578611, 107.29342979429978, 139606.36161450422]","[0.0018466853886303601, 0.0009722669810635027, 0.0028902149593643127, 3.8274501892058295, 3.25286208645038, 3.4179391890816557, 3571.607978455901]",964.1034601640108,841.4743814987204
2009-01-27,16,964.514083388246,0.17367321362909394,"[0.041480068127177416, 0.03486910421096658, -0.06005403238464938, -152.24525035757136, -120.29538017816806, 71.17049304198814, 141561.29518639896]","[0.001839030401566229, 0.0007842908485485928, 0.002602592095928999, 3.5657251413019027, 2.6942178497171305, 3.1065862096470447, 3329.671069206062]",963.3739729896258,841.7714329318285
2009-01-28,17,973.8589022764726,0.19373792432627113,"[0.0006293560651003865, 0.06324018901016075, 0.0676270285457965, 306.3636154952453, -220.85782239696564, -84.17852157849238, -307383.12658984005]","[0.0011741373131973337, 0.0006579333292733866, 0.002473741650736372, 2.600884981065866, 2.2925467410367104, 3.054905301278902, 2601.547894938459]",961.7332304183847,960.8451072179704
2009-01-29,18,975.5368561597221,0.2014137445187695,"[0.01501964336904889, 0.07331108956627634, -0.031060282493713127, 350.03987469735654, -258.19685688757835, 36.89007635721171, -354074.54344189307]","[0.001511295326415563, 0.000647664657520465, 0.002676096698927178, 2.3313268003544176, 2.2764176424960283, 3.2186984598998643, 2352.062959621679]",962.5856930606373,918.190964052212
2009-01-30,19,968.5132168661926,0.20098642902036715,"[0.023285915920587496, 0.07681125890627807, -0.07694635929918979, 317.4847242726869, -271.54790400738045, 90.41342426935317, -318984.1294165085]","[0.0016583003337440059, 0.0006270209673896336, 0.0028592957534901422, 2.5969193835757993, 2.212367345076753, 3.367166779935447, 2601.8317148211236]",961.7464672484393,893.2427818179949
2009-02-02,20,959.4835326284597,0.20046221207081905,"[0.04325263263709008, 0.059228698517384264, -0.036964785617870026, 206.04056370157886, -206.96084908487725, 43.81280822223194, -203939.5595920623]","[0.0018098963957196366, 0.0006930563623847328, 0.0024318098858948202, 2.8589285335976853, 2.4157119662215827, 2.9011148585761086, 2819.0523559804237]",955.3347769519611,829.4456124440584
2009-02-03,21,963.9756755820639,0.1927416620636569,"[0.011666822666997947, 0.0653173874057318, 0.027430585323134225, 314.1754100869557, -228.94379509113364, -33.83539009986674, -315792.36666540586]","[0.0015438396332542361, 0.0006998063827366855, 0.002436244062815545, 2.4720219620257344, 2.446923278371754, 2.957318898267185, 2477.336560571953]",959.3553201631431,925.5068538305796
2009-02-04,22,972.6705190669841,0.1807365028919626,"[-0.00857982072077308, 0.04074928693916247, -0.003965482712280329, 400.2546969672553, -140.20484221935922, 4.167484692516161, -414636.78714678576]","[0.0011196301438924662, 0.0008081731747613219, 0.0025790187906355325, 1.4881891966201632, 2.768671195002854, 3.1358019610697836, 1539.5179511768874]",963.8674203273197,991.0120610331368
2009-02-05,23,972.2821935375432,0.18615375303645498,"[-0.008725733525913222, 0.039552798516694174, 0.11328702737390586, 380.7350208316983, -135.65819285093272, -141.34184589575332, -389987.24051969015]","[0.0010993369969744342, 0.0007694649488585637, 0.0021943921254616344, 1.7548924617938089, 2.6282458433151104, 2.726612059496068, 1793.1450494731682]",960.8802687942343,988.4289959425296
2009-02-06,24,986.4094128322118,0.1961085866338331,"[-0.008412932082053053, 0.056711903128006794, 0.19313688762344486, 368.29548719880813, -196.5372125911951, -246.76071174128913, -390122.7854575849]","[0.0009174158997958996, 0.0007139148082193898, 0.0018094750398323933, 1.2060585644771007, 2.4673448447153463, 2.3061346982035675, 1278.0300680422376]",971.9584047237236,998.67066874489
2009-02-09,25,995.8400975842316,0.20242617634488388,"[-0.010968915297173842, 0.0708049603344693, 0.20282419121070558, 395.1899781308072, -247.9766725393478, -259.83688790352784, -414792.37362184864]","[0.0009393085166608168, 0.0006684289852681548, 0.0017825366066656636, 1.3008313037463033, 2.335143072153241, 2.278203013682088, 1364.8793031272787]",971.6404241504827,1006.4201185369682
2009-02-10,26,987.9890449626449,0.18933951718893027,"[-0.0005757899881584977, 0.06993760366525562, 0.06702851207940423, 397.26684257355225, -243.52861906656923, -82.83488803978723, -414017.4518218581]","[0.0014560337347937521, 0.0006319331233757043, 0.0025017641065331418, 1.350660711347276, 2.195178021651775, 3.0695993456212505, 1406.6928398134717]",962.2911584099979,964.6914008472673
2009-02-11,27,981.3213601253098,0.18554224843085793,"[-0.0032695848589403636, 0.06442379428595932, 0.06040896428389789, 396.1392074847129, -223.36840202966687, -74.49965878097582, -408037.6731277837]","[0.00135154326358658, 0.0006114349731959127, 0.0024545541774559625, 1.6084363311045948, 2.1148255090668435, 3.0055145147105184, 1653.3210581947124]",958.8914103771526,969.4970938537934
2009-02-12,28,977.1942924401924,0.2011221935490449,"[0.017337121915537455, 0.07543861380792206, 0.12691729509000543, 336.5022567431225, -264.4382622556313, -157.9970442284755, -342780.3997763852]","[0.0016909521303613716, 0.0005665823426874406, 0.0021525366072362405, 2.5473200652081407, 1.9818557582033989, 2.668590881008743, 2587.136964083207]",958.4339764962044,907.9666567131852
2009-02-13,29,975.707930721159,0.19180390831129424,"[0.0015163438161977312, 0.09096964249743272, 0.09510639080144481, 388.2429171690523, -322.7298238484096, -118.01339436745988, -399142.2000587615]","[0.00143434672849106, 0.0004940858159724869, 0.002347928433860061, 2.1513681145875934, 1.749544636692327, 2.897457789852811, 2205.7077619564593]",962.0696416228908,958.3729470021007
2009-02-16,30,970.2587454417776,0.18946918554336853,"[0.013696520763717428, 0.07582772579568872, 0.09215436711585323, 295.30760037422914, -265.8783901439864, -114.38907444406293, -298400.5712533635]","[0.0016226800748047388, 0.0005328693607533165, 0.00226062363674676, 2.9073336364520737, 1.8649328123290974, 2.789870831222809, 2927.6878818281457]",956.0776109470181,916.5539046955944
2009-02-17,31,961.6846313078834,0.19441496874291891,"[0.09627870021238957, 0.04491582167708238, -0.06666723361992007, -7.3188602931990445, -155.40647094555308, 78.55890061260833, 6415.5519020277015]","[0.0022131729425126485, 0.0006416044901318872, 0.0021444425820901767, 3.499425825082011, 2.2125055033001106, 2.5414757167038124, 3388.4885248898518]",942.881629740238,667.0105538203047
2009-02-18,32,960.8339201531637,0.19038991045447215,"[0.10545679879966773, 0.02465288121748901, -0.08538895448890596, -146.69584248806785, -84.18775580809044, 100.86099529786061, 138453.06629645923]","[0.0022481569872740423, 0.0006438122234553215, 0.001996411451723537, 3.514301629986176, 2.1864422811303648, 2.3699748820887123, 3331.2773335121933]",941.613648521517,639.4264474483593
2009-02-19,33,971.3128282307326,0.1959611640409068,"[0.1249320224879286, 0.03548946017569149, -0.16996502702229235, -192.17945544649976, -122.37012293963693, 197.9975374926497, 181053.10058094165]","[0.0024671046839622305, 0.0006499194171363175, 0.0021966149533443197, 3.606645199979346, 2.2304658201309926, 2.5589591399449656, 3412.4743715531304]",943.494901168848,585.4300832110198
2009-02-20,34,949.7434175222645,0.22486760797256972,"[0.17485418890580728, 0.017772484075446883, -0.10119358036317525, -291.59905128039316, -60.648680280881166, 118.03636007202988, 264700.03028552345]","[0.002383918316429576, 0.0006367901292290668, 0.0018415685756894074, 3.8780202449622982, 2.1553451260380303, 2.1548817606726236, 3548.8588373969915]",930.4688343091041,450.3961022215875
2009-02-23,35,950.6181790316139,0.22498763912412573,"[0.16757099093126776, -0.006745856194832345, -0.1488838940909773, -170.3661572430865, 22.15628617956318, 167.82228607681014, 160088.94255801954]","[0.0022902716797718256, 0.0006334199490992074, 0.0020480501054037253, 3.148032454662812, 2.1113051368681663, 2.302874163170735, 2968.5941809057163]",924.5084288743155,467.7510605368595
2009-02-24,36,948.0111992530525,0.2134573160755871,"[0.16085665548420314, -0.012807407749889798, -0.12849100281443757, -280.23554535384505, 42.00773232566363, 149.94022303309004, 254691.0616594654]","[0.002227867386930041, 0.0006546397770363093, 0.0017060003235669352, 3.3111064925184523, 2.1692568917346198, 1.9910152149341231, 2999.6462556918264]",919.3619293086484,484.1167266777444
2009-02-25,37,946.2514752337808,0.2039784052483987,"[0.15408140887920255, -0.020574100396309823, -0.12512045575904898, -242.64166490684252, 67.68983784246667, 144.71980538790615, 222090.93677019503]","[0.002149448451707447, 0.0006332907124762523, 0.0015606076203740673, 2.844485780080323, 2.096273655786026, 1.8048080421061972, 2609.2841029665283]",917.5023426739389,502.5039244652337
2009-02-26,38,963.9636405055894,0.23279902861100144,"[0.2049625029701715, -0.03030968144259211, -0.17977058262020437, -355.0247554745469, 100.2693269929465, 202.15668755985482, 321768.81979443715]","[0.002484490201888428, 0.0007516031704952239, 0.0024759510197405973, 4.042145280960336, 2.50089811958182, 2.78217881490783, 3639.5489167802293]",929.4955041151507,367.01985430982415
2009-02-27,39,957.3048165441286,0.22677692273198777,"[0.18637017916145743, -0.017549985603838678, -0.14329657842130988, -333.7610732067185, 57.80387435572694, 160.08207571654538, 304287.12069572444]","[0.0023269334696977037, 0.0006501517897503846, 0.00284171664945749, 3.4363155497905438, 2.161116438297066, 3.156584277927243, 3136.130521116894]",920.9719176758165,417.44904490101766
2009-03-02,40,948.3741482971216,0.1822217066058813,"[0.11553763620548707, -0.061796895005955116, 0.041087185763551096, -53.650487200058535, 199.1107293845332, -43.553695160910216, 47833.61531382969]","[0.0017690467240068556, 0.0007765280544578126, 0.0035674908307543394, 5.284185835450634, 2.509094500962393, 3.8256644412425134, 4636.591193137973]",909.9075410683868,611.0700592617577
2009-03-03,41,941.2104835925538,0.1624559769518887,"[0.11079584434872017, -0.06466279301693673, 0.0017760560839764688, -159.01900512798738, 206.50961895382653, -1.4674777730253168, 142043.11229599366]","[0.001682530092661035, 0.0006945919464111284, 0.002938296224727344, 4.195983666369025, 2.220237983042111, 3.168445130827342, 3717.0411823870086]",907.6974073844559,624.0248544175795
2009-03-04,42,955.8948968869778,0.19989741444954062,"[0.16139593338593333, -0.051189465613154954, -0.16186521811805044, -440.4179981751464, 161.1153283775814, 179.72089419328438, 403498.1088108112]","[0.0020884085393757805, 0.0009451519522278774, 0.0026818827154637373, 2.6226654521675146, 2.9750645492390206, 2.964813716087481, 2401.2818327641758]",920.6343422900152,488.4027478606189
2009-03-05,43,939.914258250562,0.15394964043757176,"[0.10925148424872817, -0.04967992440801326, 0.03488316732774871, -337.28233380213203, 157.34994486447428, -36.75146497228812, 309332.55718714726]","[0.0016754583889491725, 0.0007548601102974471, 0.002840106452782621, 2.584810900401485, 2.389957811356981, 3.035866855459831, 2370.1165606389177]",907.4241004491084,626.1930535284318
2009-03-06,44,936.7568224613549,0.13913024822498193,"[0.09308660059647582, -0.040526154272558554, 0.07323837796860223, -354.89785017711597, 127.43415136092025, -77.07750620707994, 323342.809520816]","[0.0015317864525260772, 0.000903820489724769, 0.0028690379113314847, 2.537325221870407, 2.8171019013252314, 3.0398106122895, 2310.2841950548805]",905.4831007906758,668.6080556537909
2009-03-09,45,934.4443324647519,0.12202130582062906,"[0.06518870276343858, -0.027412090790172493, 0.07361176491887682, -285.5831116425565, 86.19069778834974, -76.69971949479914, 263983.98518040736]","[0.0013733892568409184, 0.0006660910190600903, 0.0026779221892121825, 2.2408494775678895, 2.0858503915099345, 2.785982363594878, 2071.3191406141814]",900.2202756724506,735.9516305678228
2009-03-10,46,953.2478014029651,0.18939077954584335,"[0.1469205270487288, -0.03868376602000979, -0.13554904356181252, -305.7148707302096, 122.52585731191695, 150.62407585104776, 287937.9616891305]","[0.001993359433653952, 0.0007487561969557555, 0.002007421961532147, 2.557271315736829, 2.364164472777237, 2.223493199463312, 2413.830617233853]",910.4207048843143,519.0503215044324
2009-03-11,47,944.7111864350453,0.20518946845090208,"[0.14103800402298555, -0.005890236609013043, -0.12862293353270474, -15.224031268958703, 18.50567485198558, 144.3614665716089, 14014.46063204184]","[0.0020534321113933013, 0.0006401874380411547, 0.0016276638051504267, 2.6637799833194618, 2.0622783464496055, 1.810787321609801, 2602.399232578551]",903.9566917794348,527.5453982767981
2009-03-12,48,945.3156543201852,0.2004893602153991,"[0.13149554801635918, 0.006975557823759076, -0.06710694077354018, 48.19166983610589, -22.832991419605413, 77.63678808246065, -47895.974865709766]","[0.0020546255330474703, 0.0005985403776702353, 0.0014462400446632062, 2.4306135547169334, 1.9228627139454701, 1.6801401274577648, 2379.2581815062103]",902.9807759527868,549.5323924469996
2009-03-13,49,948.6150553675548,0.20828832438700487,"[0.12869590205100498, 0.03792157910964098, -0.06047723131658305, 78.60969309203948, -126.12957768173875, 70.23660989661683, -76926.6086586952]","[0.0020775544301151944, 0.0004948213424377299, 0.001518499293250169, 2.3145643316400157, 1.6427587007856403, 1.7698101382339446, 2250.9943779552573]",904.5487863315636,556.8643040222887
2009-03-16,50,963.2180620267396,0.22890688939165954,"[0.17731006354240234, 0.02085183117975233, -0.14290300218964821, 9.473194899686709, -69.71813665239875, 162.77207697929583, -9994.833878645866]","[0.0024390407145845326, 0.0005812087591996153, 0.0017672746470801105, 2.8957321932378797, 1.931285153093851, 2.0209842309457624, 2815.6497134711685]",916.798118468136,422.7241365415713
2009-03-17,51,964.6210339008566,0.25557529688057373,"[0.15245287529405968, 0.06696898330447858, -0.024512137061354796, 280.4504941154935, -229.5061839399148, 28.661994111787838, -282821.1198087148]","[0.002312522461001212, 0.0004536297864954946, 0.002063875938934333, 2.0181108765567166, 1.5534090029251832, 2.4537796628416504, 2030.4376088856375]",908.5722017945154,487.33105944535765
2009-03-18,52,967.1167311454598,0.26274661991379533,"[0.1538251991691232, 0.06608047841813583, 0.018411066906159797, 292.7348269445543, -226.0775239489035, -22.531762773672597, -296383.78528305306]","[0.0023087482274348438, 0.0004553607471707271, 0.0021404143294293685, 1.9341595720128537, 1.5567389363360584, 2.5757349684917417, 1954.2608693915188]",907.7482050954959,483.62780917058575
2009-03-19,53,966.2754930414378,0.2525880407906598,"[0.1509832958224862, 0.06797812112957471, -0.001608267855007769, 275.3997425629261, -234.7879947818022, 1.405549034974578, -275916.52900332626]","[0.0022934057054930707, 0.0004505923624522089, 0.0021917288818445475, 2.2184665365181586, 1.55550541829199, 2.6322698391070283, 2217.4255408852596]",909.6898039252665,491.06664796266847
2009-03-20,54,968.9043830546409,0.2513877258965937,"[0.1572690402014576, 0.07061415594771563, -0.04473758134200125, 304.69899759492444, -243.01369507410908, 52.44611703392327, -307118.0470872369]","[0.0023744615416088286, 0.0004798833769702094, 0.002180367197561141, 2.159229690121443, 1.6497738330753404, 2.581024454988945, 2170.7636892505966]",912.2812721815161,474.0356975977526
2009-03-23,55,994.8071332533648,0.26090894012070087,"[0.11346581595274485, 0.08934755556601791, 0.2158631779768394, 442.3457369175447, -314.89709127279787, -271.54652254228347, -456510.5123796405]","[0.002449067299481291, 0.0004445730940360708, 0.0020067920756038, 1.6904244809360067, 1.5654235801170528, 2.5168743796179442, 1742.7664892968235]",929.4683601810418,604.3516195376377
2009-03-24,56,1001.4948577034716,0.262412419706374,"[0.12657491655854677, 0.09960109356795112, 0.11629676678686024, 392.29684114561456, -353.97158578208666, -143.85607099943545, -413632.7836415665]","[0.0025644929960097723, 0.00044357356508203607, 0.0026486908405115106, 1.3590248479808176, 1.5744209495685992, 3.2568292743190743, 1433.3689051991364]",932.7879123501293,569.5825216661838
2009-03-25,57,1003.3026284420073,0.2425685847003216,"[0.09867073399656505, 0.10591961030275795, 0.11735351559547683, 402.8820814773804, -379.21010093019345, -145.5017832616573, -425967.74508450745]","[0.0024891966001391336, 0.00041341702037131695, 0.002774499400426645, 1.2666607918449608, 1.478489608334513, 3.417989382951569, 1339.8332969188496]",937.5075164597226,652.5916573944485
